"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1579","24SevenOffice","-1576,1%","-99%","8,2","-0,3","36,96","0,8","0,0","1624","82,5","9,9%","-5,7%","22,9%"
"1550","2cureX","-10738,3%","-81%","0,2","0,2","-0,00","0,5",,"9","48,7","-4,2%","-17,8%","-0,8%"
"2396","4C Group","-1,3%","15%","-111,9","21,3","-0,37","2,5",,"657","56,4","5,9%","-5,5%","-4,2%"
"1398","AAC Clyde Space","-0,8%","-4%","-93,5","31,0","-8,93","0,6",,"425","56,9","-3,7%","30,4%","26,7%"
"2","AAK","17,0%","5%","15,3","42,6","-2,31","3,6","1,0","72988","40,1","-1,0%","-3,0%","-6,5%"
"2481","ABAS Protect","1,1%","30%","45,8","-83,7","-0,42","1,6","-1,0","65","58,9","4,2%","-7,5%","2,2%"
"3","ABB","18,9%","3%","17,4","22,3","-0,39","6,0","4,3","963799","27,1","-4,4%","-1,1%","-9,8%"
"1461","Abelco Investment","-43,5%","-0%","-1,6","-2,8","-0,00","0,3",,"11","45,8","-3,7%","-31,3%","-28,6%"
"2079","Abera Bioscience","-42,9%","-45%","-74,3","-62,6","-0,08","10,3",,"89","54,9","-2,7%","18,2%","-6,1%"
"437","Absolent Air Care","12,1%","14%","15,9","29,9","-3,37","3,2","8,0","3023","55,9","2,6%","-11,3%","-4,3%"
"1336","Absolicon","-46,6%","-20%","-0,9","-1,6","-0,05","0,5",,"29","51,1","-4,9%","-36,1%","-11,6%"
"1323","AcadeMedia","4,3%","53%","12,7","7,1","-6,96","1,3","0,4","7994","60,2","2,0%","15,5%","2,8%"
"1397","Acarix","-387,5%","-73%","-2,9","-3,0","-0,00","3,3",,"266","47,7","0,5%","-25,4%","3,5%"
"2198","Acast","11,3%","-28%","-38,8","-53,8","-0,42","2,2","0,2","2807","44,3","-1,7%","3,2%","-5,5%"
"1572","Acconeer","-18,1%","-21%","-10,1","-3,4","-0,83","1,5",,"365","49,9","-1,9%","-16,3%","0,9%"
"432","Acenta Group","70,5%","1%","-0,1","-0,1",,"0,1","0,0","38","49,1","2,9%","-33,7%","-25,5%"
"1402","AcouSort","-847,4%","-52%","-2,3","-2,3","-0,11","4,5",,"53","27,8","-3,8%","-46,4%","-50,4%"
"607","Acrinova A","2,2%","45%","33,4","-62,5","-1,29","0,7","0,6","672","57,4","5,1%","-6,2%","8,3%"
"2104","Acrinova B","2,2%","45%","32,9","-61,6","-1,29","0,7","0,6","650","61,4","3,4%","-2,0%","-0,2%"
"1426","Actic Group","-1,0%","68%","25,8","6,6","-0,84","1,5",,"249","54,5","-4,1%","37,0%","-8,4%"
"6","Active Biotech","-576,8%","-63%","-1,7","-1,7",,"2,9",,"111","51,6","5,6%","-65,1%","-1,0%"
"1451","AcuCort","-45,7%","-6%","-4,9","-3,1","-0,06","2,2",,"167","43,3","-5,4%","-5,3%","-7,5%"
"1326","Acuvi","7,2%","9%","19,4","-40,7","-0,25","1,0","0,1","439","38,7","-0,6%","4,1%","-13,5%"
